antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
{'Komputerisasi Akuntansi - Jumat - desain web'},{'Lab. Struktur Data & SI Akuntansi (Comlab Lt.3)'},0.0015051173991571343,0.08308248043347381,0.0015051173991571343,1.0,12.03623188405797,1.0,0.0013800685122915806,inf,0.9182996683750377,0.018115942028985508,1.0,0.5090579710144928
{'Komputerisasi Akuntansi - Jumat - praktikum basis data'},{'Lab. Basis Data & Big Data (Comlab Lt.4)'},0.002408187838651415,0.052980132450331126,0.002408187838651415,1.0,18.875,1.0,0.0022806017279943863,inf,0.9493059746529874,0.04545454545454546,1.0,0.5227272727272727
{'Komputerisasi Akuntansi - Jumat - praktikum basis data '},{'Lab. Struktur Data & SI Akuntansi (Comlab Lt.3)'},0.0012040939193257074,0.08308248043347381,0.0012040939193257074,1.0,12.03623188405797,1.0,0.0011040548098332646,inf,0.9180229053646776,0.014492753623188406,1.0,0.5072463768115942
{'Komputerisasi Akuntansi - Jumat - praktikum pemrograman bergerak '},{'Lab. RPL & Sistem Informasi (Comlab Lt.3)'},0.002408187838651415,0.07495484647802529,0.002408187838651415,1.0,13.341365461847388,1.0,0.0022276824889150503,inf,0.9272782136391067,0.0321285140562249,1.0,0.5160642570281124
{'Komputerisasi Akuntansi - Jumat - praktikum sistem informasi akutansi '},{'Lab. Perangkat keras & Teknologi Komponen (Comlab Lt.3)'},0.0012040939193257074,0.060505719446116796,0.0012040939193257074,1.0,16.5273631840796,1.0,0.001131239350456211,inf,0.9406268836648584,0.01990049751243781,1.0,0.5099502487562189
{'Komputerisasi Akuntansi - Jumat - pratikum disen web '},{'Lab. Struktur Data & SI Akuntansi (Comlab Lt.3)'},0.0012040939193257074,0.08308248043347381,0.0012040939193257074,1.0,12.03623188405797,1.0,0.0011040548098332646,inf,0.9180229053646776,0.014492753623188406,1.0,0.5072463768115942
{'Komputerisasi Akuntansi - Rabu - praktikum desain web '},{'Lab. Pemrograman Lanjut (Diklat Lt.4)'},0.002107164358819988,0.08398555087296809,0.002107164358819988,1.0,11.906810035842295,1.0,0.0019301929993646068,inf,0.917948717948718,0.025089605734767026,1.0,0.5125448028673835
{'Komputerisasi Akuntansi - Selasa - praktikum akuntansi dasar '},{'Lab. Struktur Data & SI Akuntansi (Comlab Lt.3)'},0.0015051173991571343,0.08308248043347381,0.0015051173991571343,1.0,12.03623188405797,1.0,0.0013800685122915806,inf,0.9182996683750377,0.018115942028985508,1.0,0.5090579710144928
{'Manajemen Informatika - Jumat - kuliah praktikum basis data ii'},{'Lab. Basis Data & Big Data (Comlab Lt.4)'},0.0012040939193257074,0.052980132450331126,0.0012040939193257074,1.0,18.875,1.0,0.0011403008639971931,inf,0.948161543098252,0.022727272727272728,1.0,0.5113636363636364
{'Komputerisasi Akuntansi - Senin - zahir accounting '},{'Lab. Struktur Data & SI Akuntansi (Comlab Lt.3)'},0.0012040939193257074,0.08308248043347381,0.0012040939193257074,1.0,12.03623188405797,1.0,0.0011040548098332646,inf,0.9180229053646776,0.014492753623188406,1.0,0.5072463768115942
{'Komputerisasi Akuntansi - Senin - pratikum struktur data '},{'Lab. Struktur Data & SI Akuntansi (Comlab Lt.3)'},0.0015051173991571343,0.08308248043347381,0.0015051173991571343,1.0,12.03623188405797,1.0,0.0013800685122915806,inf,0.9182996683750377,0.018115942028985508,1.0,0.5090579710144928
